States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Andaman and Nicobar,45,,67,81,153,136,120,96,53,73,,176,220,,141,125,73,325,20,40,60,80
Andhra Pradesh,53.4,40.8,44.2,73.6,151,120.4,115.6,99.8,43.2,58.2,178,195,117.4,175,119.8,98.6,58.2,322,21.2,31.6,30.6,47
Arunachal pradesh,34.5,42,38.25,88.25,134.5,120.75,116.75,101.75,51,71.33,,159,153.33,143.67,212.5,,70,316.5,21,25,40.67,100
Assam,41.96,31.36,36.48,77,133.93,107.78,109.74,91.07,44.81,69.8,199.5,148.11,140.81,141.74,157.55,116.67,56.69,258.96,13.27,22.12,35.15,82.96
Bihar,38.28,26.17,32.86,73.56,136.11,112.39,108.42,80.08,43.22,55.22,190.76,137.25,126.03,130.33,169.34,111.4,48.47,278.72,22.57,19.56,31.14,65.14
Chandigarh,41,30,35,74,132,112,110,93,43,58,190,154,130,136,156,112,51,275,27,25,35,45
Chhattisgarh,37,34.67,37.67,81,140.5,110,108.33,89,42.5,55.83,200.83,147.67,132.33,131.83,138.33,120.5,49.5,321.83,21.5,22.83,29.33,41.33
Delhi,39,28,31,80,162,128,115,88,41,53,218,144,130,130,144,104,60,243,26,27,38,43
DNH and DD,45.67,39,44.33,81.33,151,130,121.67,96.33,41.33,64,211.33,155,140.67,132.67,133,101.67,68,350,27,21.67,32.67,42.33
Goa,47,43,42,83.5,162,125,122.5,97.5,42.5,57.5,216,161,145,152.5,122.5,100,56.5,315.5,24.5,35,37.5,34
Gujarat,36.8,33,37.6,75.2,131.2,114.8,101.6,93.2,42,56.4,190,152,138.4,151.2,137.6,108.4,50,276.8,15,24.4,26.6,60.4
Haryana,40.25,25.75,32.75,67.75,130.5,101.75,99,93.75,42,58.75,188.5,143.25,132.75,127.75,158.5,114,45.25,234.5,25.75,16.75,22.75,72.25
