States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Andaman and Nicobar,45,,67,81,153,136,120,95,52,73,,176,220,,141,125,75,325,20,40,60,77
Andhra Pradesh,52.2,40.8,44.2,74.4,150.6,121.2,115,99,43.6,58.2,177.8,196,117.2,175,119,99,58,325,21.2,31.4,29.8,29
Assam,41.19,31.5,35.88,75.19,130.63,102.15,109.38,89.31,44.5,70.69,226,145.38,137.17,138.13,153.38,111.78,56.81,263.19,14.38,21.06,35.56,80.87
Bihar,37.76,26.32,32.32,74.56,138.68,113.44,109.12,79.52,43.16,56,184.64,138.72,124.04,128.04,169.71,106.2,47.76,280.84,22.8,19.6,31.72,58.32
Chandigarh,41,30,35,74,132,112,110,93,43,58,190,154,130,136,156,112,51,275,27,25,45,36
Chhattisgarh,39.14,35.29,37.86,76.71,141.57,104.43,106.71,85.14,42.14,60.43,192.5,142.14,125,127,147.33,116.43,49.57,296,24.57,24.57,33.14,42.57
Delhi,39,28,31,82,162,130,115,91,42,53,218,144,131,130,143,104,60,247,26,27,37,40
DNH and DD,44.67,39.67,44.67,82,155.33,132.67,121,97,42,64,210.67,155,140.67,130.33,132.67,101.33,68.33,350,27,21,33.33,40.67
Gujarat,39.33,32.67,39.67,76,130,116.33,111,95.33,42.67,57.67,191,138,126.67,135.67,124,111,48.67,286.33,15,26,23.33,70
Haryana,40.5,26,33,68,131.25,102,99.25,94,42.25,59.25,188.75,143.5,133,128,158.75,114.25,45.5,237,25.75,17.25,25,69.75
Himachal Pradesh,37.25,21,32.25,77,144,121.08,112.67,87,44.55,54.45,219.5,166.75,140.25,134,152.4,121.5,46.73,261.36,27.55,30.83,38.5,50.75
Jammu and Kashmir,40,39,57,95,120,118,120,103,50,45,243,155,146,135,198,,49,355,28,30,40,67
Jharkhand,37.82,29.5,34,76.36,141.73,106.64,105.18,80.55,43.64,57.3,188.67,136.36,120.45,130.8,160.33,105.8,48.09,298.7,22,19.09,27.55,55.64
Karnataka,55.19,41.58,45.61,87.48,152.16,131.94,121.26,105.55,41.58,50.06,178.32,169.35,122.55,140.23,124.42,98.45,52.03,293.1,19.06,30.55,34.65,32.03
Madhya Pradesh,36.54,27.51,33.49,76.05,142.84,105.38,107.11,90.11,41.95,56.73,191.86,137.59,119.81,114.22,144.58,114.25,47.11,248.59,18.75,20.3,26.43,40.92
Maharashtra,47.58,38.26,42.68,77.89,158.68,121,118.32,98.05,43.21,57.74,190.79,160.78,131.42,112.89,127.32,105.13,52.21,292,23.63,27.68,31.37,43.79
Meghalaya,42,36.67,35.67,77,124.33,119,114.33,94.33,44.67,73.33,,143.33,135,136.67,190,130,76.67,313.33,30,26,45.67,60
Mizoram,50,40,45,98,,,120,105,50,75,,190,220,150,,,100,520,25,40,60,70
Odisha,36.86,37.6,39.92,78.36,150.43,113.57,109.71,80.64,43.43,52.29,141.67,138.07,113.38,131.33,116.43,96.86,50.21,274.27,26.36,20.36,32.43,39
Puducherry,46,39,33,73,168,125,110,87,40,45,205,166,149,,113,94,49,387,23,29,30,30
Punjab,36.55,24.27,29.73,79.18,141.27,116.36,110.91,96.91,42.45,59.36,195.5,128.64,120.73,119.73,142.4,106,51,257.36,25.36,20.09,34.64,44.09
Rajasthan,39.33,29.33,31.78,71.44,117.56,106.44,101.56,89,40.89,53,183,151.44,124.67,144.89,157.57,133.33,42.67,293.78,20.78,21.67,24.67,66.56
Sikkim,60,36,36,80,135,135,130,110,50,60,,187,167,,210,,66,343,17,28,40,88
Tamil Nadu,56.61,43.52,53,82.87,167.26,133.26,119.35,89.35,41.87,45.43,212.09,184.57,126.65,,116.13,93.52,54.35,288.93,24.52,35.39,35.83,27.17
Telangana,51,39.5,47,73.5,148.5,119,107.5,90,39.5,57,165,151,97,119,112.5,93,54,288.5,21.5,26.5,28,32
Uttar Pradesh,36.85,25.62,31.92,75.2,139.42,111.08,107.31,91.85,42.17,62.29,192.72,141,130.47,134.9,164,112.86,48,239.78,26.83,20.1,30.61,48.49
Uttarakhand,35.5,25,32,82.5,133,109.5,110.5,96.5,40.5,66,160.5,140.5,137.5,140,145,89,51.5,258.5,28.5,19.5,32,39.5
West Bengal,41.79,28.57,38.14,75.07,134.36,111.38,116,106,43.43,54.14,194.5,132,112.14,116.71,134.14,102.57,52,272.79,20.64,20.64,35.5,54.54
